"AddedDate(GMT+0)","Application","Component","ComponentId","EntryType","EventType","InstanceId","Level","ProcessId","SessionId","Tenant","UserId","Message"
"2016-10-06 07:45:44.026","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeEnd","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Creating repository model for project C5A022B7-323B-4C81-9B8B-D4F02EA4585B.: 446 ms"
"2016-10-06 07:45:44.028","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Executing post-login operations."
"2016-10-06 07:45:44.495","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasConnector",,"TimeStart","60100","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Connecting to aliases (part 1)"
"2016-10-06 07:45:44.509","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeStart","60002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Connecting alias 'Best Practices OLAP'"
"2016-10-06 07:45:44.599","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeStart","60002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Connecting to alias database"
"2016-10-06 07:45:44.618","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema DISCOVER_DATASOURCES"
"2016-10-06 07:45:44.834","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema DISCOVER_DATASOURCES: 215 ms"
"2016-10-06 07:45:44.842","Application Studio Service Worker","Mis.Olap.XmlaDriver.ExecuteRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteMDX: "
"2016-10-06 07:45:45.010","Application Studio Service Worker","Mis.Olap.XmlaDriver.ExecuteRequest",,"TimeEnd","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteMDX: : 168 ms"
"2016-10-06 07:45:45.011","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","XMLA:ExecuteSchema MDSCHEMA_DIMENSIONS"
